timestamp,plate,confidence
2026-05-21 14:37:31,RVQ1B23,1.000
2026-05-21 14:37:59,GG941DD,0.649
2026-05-21 14:40:07,CJP0008,1.000
2026-05-21 14:41:15,GH2D24,0.982
2026-05-21 14:41:20,EGH2D24,0.998
2026-05-21 14:41:33,PIA2A91,0.998
2026-05-21 14:41:39,FJB4E12,1.000
2026-05-21 14:41:41,BRA1117,0.995
2026-05-21 14:41:42,BRA0S17,1.000
2026-05-21 14:42:09,AAA8B88,0.960
2026-05-21 14:42:10,AAA8B88,0.969
2026-05-21 14:43:21,O11CAASS,0.689
2026-05-21 14:43:24,JKG1A17,1.000
2026-05-21 14:43:26,JKG1A17,0.997
2026-05-21 14:43:36,HEX0049,0.999
2026-05-21 14:43:43,HEX0049,1.000
2026-05-21 14:43:43,HEXD049,0.964
2026-05-21 14:43:52,JKG1A17,0.999
2026-05-21 14:43:54,HEX0049,1.000
2026-05-21 14:44:00,MMRORO,0.696
2026-05-21 14:44:08,CUK5G17,0.999
2026-05-21 14:44:11,GIO6B94,0.991
2026-05-21 14:45:33,RFK2G88,0.999
2026-05-21 14:45:34,RFK2G8,0.979
2026-05-21 14:45:47,GKE6C41,1.000
2026-05-21 14:45:48,BCV3G68,0.904
2026-05-21 14:45:48,BCV3688,0.691
2026-05-21 14:45:48,BCV3668,0.937
2026-05-21 14:45:52,BCV3668,0.950
2026-05-21 14:45:52,BCV3G88,0.760
2026-05-21 14:46:10,STRADA,1.000
2026-05-21 14:46:10,ARTC1LARS,0.684
2026-05-21 14:46:11,ARTCCLARS,0.721
2026-05-21 14:46:37,LLLLL553,0.999
2026-05-21 14:49:07,1H3578,0.911
2026-05-21 14:49:07,HD7798,0.997
2026-05-21 14:49:07,DU3792,1.000
2026-05-21 14:49:07,BD8306,1.000
2026-05-21 14:49:08,NA0328,0.977
2026-05-21 14:49:08,UF0005,0.999
2026-05-21 14:49:08,QF9990,0.977
2026-05-21 14:49:08,QG0627,0.988
2026-05-21 14:49:08,1F9990,0.943
2026-05-21 14:49:09,Q03465,0.957
2026-05-21 14:49:09,QQ3465,0.913
2026-05-21 14:49:14,TB3907,0.998
2026-05-21 14:49:15,FB3907,0.913
2026-05-21 14:49:16,YG0110,0.990
2026-05-21 14:49:16,YG011,0.953
2026-05-21 14:49:18,KP0118,0.987
2026-05-21 14:49:20,OH1891,0.982
2026-05-21 14:49:20,0G9790,0.966
2026-05-21 14:49:20,QH1891,0.960
2026-05-21 14:49:20,DG9790,0.955
2026-05-21 14:49:22,OL1869,0.970
2026-05-21 14:49:22,0L1869,0.970
2026-05-21 14:49:23,PW1599,1.000
2026-05-21 14:49:23,DV2250,0.976
2026-05-21 14:49:24,OG90S0,0.910
2026-05-21 14:49:24,DV8499,0.998
2026-05-21 14:49:24,OG9050,0.930
2026-05-21 14:49:26,GQ5421,0.998
2026-05-21 14:49:26,1L2700,0.957
2026-05-21 14:49:26,EP1978,1.000
2026-05-21 14:49:26,KL1536,0.941
2026-05-21 14:49:26,DA085,0.992
2026-05-21 14:50:28,93369,0.959
2026-05-21 14:51:38,SFD5D64,0.999
2026-05-21 14:51:44,SFD5D6,0.999
2026-05-21 14:51:46,SFD5D6,0.997
2026-05-21 14:51:56,SFD5D64,0.999
2026-05-21 14:52:37,ABCID34,0.945
2026-05-21 14:53:12,SFD5D64,0.999
2026-05-21 14:53:21,SFD5D64,1.000
2026-05-21 14:53:24,SFD5D64,1.000
2026-05-21 14:53:27,SFD5D64,0.999
2026-05-21 14:53:31,SFD5D64,0.999
2026-05-21 14:56:02,DEINP,0.976
2026-05-21 14:56:09,A1TSS,0.774
2026-05-21 14:56:09,DA6TS,0.685
2026-05-21 14:56:34,QTP5F71,0.997
2026-05-21 14:56:36,QTP5F71,0.999
2026-05-21 14:56:52,QTP5F71,0.998
2026-05-21 15:08:55,5587949,0.945
2026-05-21 15:08:55,1557949,0.875
2026-05-21 15:10:19,PADCCO,0.726
2026-05-21 15:10:21,PMDC80,0.594
2026-05-21 15:10:30,SEL0C00,0.983
2026-05-21 15:10:38,CA2000,0.598
2026-05-21 15:10:38,CAT0666,0.535
2026-05-21 21:14:56,RVQ1B23,1.000
2026-05-21 21:16:49,RVQ1B23,1.000
2026-05-21 21:17:00,RVQ1B23,1.000
2026-05-21 21:17:06,RVQ1B23,1.000
2026-05-21 21:44:24,RVQ1B23,1.000
2026-05-21 21:49:34,XXX0000,1.000
2026-05-21 21:49:47,RKY4J23,0.974
2026-05-21 21:50:19,XXX0000,1.000
2026-05-21 21:52:14,RI02A18,0.960
2026-05-21 21:52:17,FJB4E12,1.000
2026-05-21 21:52:17,S09ER4,0.540
2026-05-21 21:52:17,SUPERR7T,0.718
2026-05-21 21:52:21,SUPERR7T,0.718
2026-05-21 21:52:50,AAA8B88,0.999
2026-05-21 21:54:52,KP0118,0.990
2026-05-21 21:54:52,MY0015,0.986
2026-05-21 21:54:52,NY0015,0.969
2026-05-21 21:54:56,KP011B,0.984
2026-05-21 21:55:08,KY0015,0.931
2026-05-21 21:55:14,KY0015,0.931
2026-05-21 21:55:23,KP011B,0.974
2026-05-21 21:55:24,NY0015,0.980
2026-05-21 21:55:25,KY0015,0.931
2026-05-21 21:55:29,NY0015,0.980
2026-05-21 21:55:40,KY0015,0.931
2026-05-21 21:56:35,JJ2032,1.000
2026-05-21 21:56:37,KP11,0.995
2026-05-21 21:56:50,LE5330,0.985
2026-05-21 21:56:50,CL9225,0.873
2026-05-21 21:56:51,1L5208,0.957
2026-05-21 21:56:52,QL922,0.776
2026-05-21 21:56:53,LE533Q,0.955
2026-05-21 21:56:53,LB2629,0.937
2026-05-21 21:56:56,1I5208,0.935
2026-05-21 21:56:59,LE533Q,0.955
2026-05-21 21:57:01,131999,0.654
2026-05-21 21:57:02,115208,0.938
2026-05-21 21:57:06,0L5208,0.905
2026-05-21 21:57:08,115208,0.947
2026-05-21 21:57:08,LE533Q,0.955
2026-05-21 21:57:08,131999,0.654
2026-05-21 21:57:10,1L5208,0.956
2026-05-21 21:57:11,115208,0.939
2026-05-21 21:57:12,LE533Q,0.955
2026-05-21 21:57:12,0L5208,0.909
2026-05-21 21:57:14,QL9225,0.970
2026-05-21 21:57:16,QL922,0.776
2026-05-21 21:57:16,CL9225,0.853
2026-05-21 21:57:20,1L5208,0.962
2026-05-21 21:57:21,115208,0.930
2026-05-21 21:57:21,9225,0.905
2026-05-21 21:57:24,LE533Q,0.955
2026-05-21 21:57:24,QL922,0.776
2026-05-21 21:57:27,1I5208,0.935
2026-05-21 21:57:28,2L5208,0.915
2026-05-21 21:57:28,LE533Q,0.955
2026-05-21 21:57:31,QL922,0.776
2026-05-21 21:57:32,115208,0.960
2026-05-21 21:57:32,1S1999,0.662
2026-05-21 21:57:32,CL9225,0.844
2026-05-21 21:57:33,GL9225,0.903
2026-05-21 21:57:33,LE533Q,0.955
2026-05-21 21:57:36,QL5208,0.918
2026-05-21 21:57:37,LE533Q,0.955
2026-05-21 21:57:37,QL922,0.776
2026-05-21 21:57:39,PF3999,0.613
2026-05-21 21:57:40,6F3991,0.620
2026-05-21 21:57:42,LE533Q,0.955
2026-05-21 21:57:44,CL9225,0.844
2026-05-21 21:57:46,2L5208,0.935
2026-05-21 21:57:47,GL9225,0.912
2026-05-21 21:57:47,115208,0.952
2026-05-21 21:57:47,PS3999,0.649
2026-05-21 21:57:47,LE533D,0.927
2026-05-21 21:57:50,1L5208,0.972
